Topic,Question_Type,Difficulty,Question_Text,OptionA,OptionB,OptionC,OptionD,Answer,Explanation
Artificial Intelligence,MCQ,Easy,What is the main purpose of Artificial Intelligence?,To perform calculations only.,To store data.,To extract insights and make decisions using data.,To design user interfaces.,C,The main purpose of Artificial Intelligence is to derive meaningful insights from data and information.
Artificial Intelligence,MCQ,Easy,Which approach is most used in Artificial Intelligence to analyse patterns?,Random guessing,Logical analysis and statistics,Pure coding,Manual observation,B,Logic and statistics are fundamental for analysing patterns in data.
Artificial Intelligence,MCQ,Easy,What kind of reasoning is essential in Artificial Intelligence?,Logical and analytical reasoning,Memorisation only,Visual design,None of the above,A,Logical reasoning is key to interpret and analyse data effectively.
Artificial Intelligence,MCQ,Easy,What is the main purpose of Artificial Intelligence?,To perform calculations only.,To store data.,To extract insights and make decisions using data.,To design user interfaces.,C,The main purpose of Artificial Intelligence is to derive meaningful insights from data and information.
Artificial Intelligence,MCQ,Easy,Which approach is most used in Artificial Intelligence to analyse patterns?,Random guessing,Logical analysis and statistics,Pure coding,Manual observation,B,Logic and statistics are fundamental for analysing patterns in data.
Artificial Intelligence,MCQ,Easy,What kind of reasoning is essential in Artificial Intelligence?,Logical and analytical reasoning,Memorisation only,Visual design,None of the above,A,Logical reasoning is key to interpret and analyse data effectively.
Artificial Intelligence,MCQ,Easy,What is the main purpose of Artificial Intelligence?,To perform calculations only.,To store data.,To extract insights and make decisions using data.,To design user interfaces.,C,The main purpose of Artificial Intelligence is to derive meaningful insights from data and information.
Artificial Intelligence,MCQ,Easy,Which approach is most used in Artificial Intelligence to analyse patterns?,Random guessing,Logical analysis and statistics,Pure coding,Manual observation,B,Logic and statistics are fundamental for analysing patterns in data.
Artificial Intelligence,MCQ,Easy,What kind of reasoning is essential in Artificial Intelligence?,Logical and analytical reasoning,Memorisation only,Visual design,None of the above,A,Logical reasoning is key to interpret and analyse data effectively.
Artificial Intelligence,MCQ,Easy,What is the main purpose of Artificial Intelligence?,To perform calculations only.,To store data.,To extract insights and make decisions using data.,To design user interfaces.,C,The main purpose of Artificial Intelligence is to derive meaningful insights from data and information.
Artificial Intelligence,MCQ,Easy,Which approach is most used in Artificial Intelligence to analyse patterns?,Random guessing,Logical analysis and statistics,Pure coding,Manual observation,B,Logic and statistics are fundamental for analysing patterns in data.
Artificial Intelligence,MCQ,Easy,What kind of reasoning is essential in Artificial Intelligence?,Logical and analytical reasoning,Memorisation only,Visual design,None of the above,A,Logical reasoning is key to interpret and analyse data effectively.
Artificial Intelligence,MCQ,Easy,What is the main purpose of Artificial Intelligence?,To perform calculations only.,To store data.,To extract insights and make decisions using data.,To design user interfaces.,C,The main purpose of Artificial Intelligence is to derive meaningful insights from data and information.
Artificial Intelligence,MCQ,Easy,Which approach is most used in Artificial Intelligence to analyse patterns?,Random guessing,Logical analysis and statistics,Pure coding,Manual observation,B,Logic and statistics are fundamental for analysing patterns in data.
Artificial Intelligence,MCQ,Easy,What kind of reasoning is essential in Artificial Intelligence?,Logical and analytical reasoning,Memorisation only,Visual design,None of the above,A,Logical reasoning is key to interpret and analyse data effectively.
Artificial Intelligence,MCQ,Medium,Which scenario demonstrates applied Artificial Intelligence reasoning?,Following a recipe,Analysing trends to predict outcomes,Typing text,Watching videos,B,Applied reasoning involves using data to make predictions.
Artificial Intelligence,MCQ,Medium,"In Artificial Intelligence, which factor is most critical for decision-making?",Data quality,Font size,Colour scheme,Random choice,A,High-quality data ensures accurate and reliable decisions.
Artificial Intelligence,MCQ,Medium,Which scenario demonstrates applied Artificial Intelligence reasoning?,Following a recipe,Analysing trends to predict outcomes,Typing text,Watching videos,B,Applied reasoning involves using data to make predictions.
Artificial Intelligence,MCQ,Medium,"In Artificial Intelligence, which factor is most critical for decision-making?",Data quality,Font size,Colour scheme,Random choice,A,High-quality data ensures accurate and reliable decisions.
Artificial Intelligence,MCQ,Medium,Which scenario demonstrates applied Artificial Intelligence reasoning?,Following a recipe,Analysing trends to predict outcomes,Typing text,Watching videos,B,Applied reasoning involves using data to make predictions.
Artificial Intelligence,MCQ,Medium,"In Artificial Intelligence, which factor is most critical for decision-making?",Data quality,Font size,Colour scheme,Random choice,A,High-quality data ensures accurate and reliable decisions.
Artificial Intelligence,MCQ,Medium,Which scenario demonstrates applied Artificial Intelligence reasoning?,Following a recipe,Analysing trends to predict outcomes,Typing text,Watching videos,B,Applied reasoning involves using data to make predictions.
Artificial Intelligence,MCQ,Medium,"In Artificial Intelligence, which factor is most critical for decision-making?",Data quality,Font size,Colour scheme,Random choice,A,High-quality data ensures accurate and reliable decisions.
Artificial Intelligence,MCQ,Medium,Which scenario demonstrates applied Artificial Intelligence reasoning?,Following a recipe,Analysing trends to predict outcomes,Typing text,Watching videos,B,Applied reasoning involves using data to make predictions.
Artificial Intelligence,MCQ,Medium,"In Artificial Intelligence, which factor is most critical for decision-making?",Data quality,Font size,Colour scheme,Random choice,A,High-quality data ensures accurate and reliable decisions.
Artificial Intelligence,MCQ,Medium,Which scenario demonstrates applied Artificial Intelligence reasoning?,Following a recipe,Analysing trends to predict outcomes,Typing text,Watching videos,B,Applied reasoning involves using data to make predictions.
Artificial Intelligence,MCQ,Medium,"In Artificial Intelligence, which factor is most critical for decision-making?",Data quality,Font size,Colour scheme,Random choice,A,High-quality data ensures accurate and reliable decisions.
Artificial Intelligence,MCQ,Medium,Which scenario demonstrates applied Artificial Intelligence reasoning?,Following a recipe,Analysing trends to predict outcomes,Typing text,Watching videos,B,Applied reasoning involves using data to make predictions.
Artificial Intelligence,MCQ,Medium,"In Artificial Intelligence, which factor is most critical for decision-making?",Data quality,Font size,Colour scheme,Random choice,A,High-quality data ensures accurate and reliable decisions.
