Topic,Question_Type,Difficulty,Question_Text,OptionA,OptionB,OptionC,OptionD,Answer,Explanation
Data Science,MCQ,Easy,What is the main purpose of Data Science?,To perform calculations only.,To store data.,To extract insights and make decisions using data.,To design user interfaces.,C,The main purpose of Data Science is to derive meaningful insights from data and information.
Data Science,MCQ,Easy,Which approach is most used in Data Science to analyse patterns?,Random guessing,Logical analysis and statistics,Pure coding,Manual observation,B,Logic and statistics are fundamental for analysing patterns in data.
Data Science,MCQ,Easy,What kind of reasoning is essential in Data Science?,Logical and analytical reasoning,Memorisation only,Visual design,None of the above,A,Logical reasoning is key to interpret and analyse data effectively.
Data Science,MCQ,Easy,What is the main purpose of Data Science?,To perform calculations only.,To store data.,To extract insights and make decisions using data.,To design user interfaces.,C,The main purpose of Data Science is to derive meaningful insights from data and information.
Data Science,MCQ,Easy,Which approach is most used in Data Science to analyse patterns?,Random guessing,Logical analysis and statistics,Pure coding,Manual observation,B,Logic and statistics are fundamental for analysing patterns in data.
Data Science,MCQ,Easy,What kind of reasoning is essential in Data Science?,Logical and analytical reasoning,Memorisation only,Visual design,None of the above,A,Logical reasoning is key to interpret and analyse data effectively.
Data Science,MCQ,Easy,What is the main purpose of Data Science?,To perform calculations only.,To store data.,To extract insights and make decisions using data.,To design user interfaces.,C,The main purpose of Data Science is to derive meaningful insights from data and information.
Data Science,MCQ,Easy,Which approach is most used in Data Science to analyse patterns?,Random guessing,Logical analysis and statistics,Pure coding,Manual observation,B,Logic and statistics are fundamental for analysing patterns in data.
Data Science,MCQ,Easy,What kind of reasoning is essential in Data Science?,Logical and analytical reasoning,Memorisation only,Visual design,None of the above,A,Logical reasoning is key to interpret and analyse data effectively.
Data Science,MCQ,Easy,What is the main purpose of Data Science?,To perform calculations only.,To store data.,To extract insights and make decisions using data.,To design user interfaces.,C,The main purpose of Data Science is to derive meaningful insights from data and information.
Data Science,MCQ,Easy,Which approach is most used in Data Science to analyse patterns?,Random guessing,Logical analysis and statistics,Pure coding,Manual observation,B,Logic and statistics are fundamental for analysing patterns in data.
Data Science,MCQ,Easy,What kind of reasoning is essential in Data Science?,Logical and analytical reasoning,Memorisation only,Visual design,None of the above,A,Logical reasoning is key to interpret and analyse data effectively.
Data Science,MCQ,Easy,What is the main purpose of Data Science?,To perform calculations only.,To store data.,To extract insights and make decisions using data.,To design user interfaces.,C,The main purpose of Data Science is to derive meaningful insights from data and information.
Data Science,MCQ,Easy,Which approach is most used in Data Science to analyse patterns?,Random guessing,Logical analysis and statistics,Pure coding,Manual observation,B,Logic and statistics are fundamental for analysing patterns in data.
