Topic,Question_Type,Difficulty,Question_Text,OptionA,OptionB,OptionC,OptionD,Answer,Explanation
Machine Learning,MCQ,Easy,What is the main purpose of Machine Learning?,To perform calculations only.,To store data.,To extract insights and make decisions using data.,To design user interfaces.,C,The main purpose of Machine Learning is to derive meaningful insights from data and information.
Machine Learning,MCQ,Easy,Which approach is most used in Machine Learning to analyse patterns?,Random guessing,Logical analysis and statistics,Pure coding,Manual observation,B,Logic and statistics are fundamental for analysing patterns in data.
Machine Learning,MCQ,Easy,What kind of reasoning is essential in Machine Learning?,Logical and analytical reasoning,Memorisation only,Visual design,None of the above,A,Logical reasoning is key to interpret and analyse data effectively.
Machine Learning,MCQ,Easy,What is the main purpose of Machine Learning?,To perform calculations only.,To store data.,To extract insights and make decisions using data.,To design user interfaces.,C,The main purpose of Machine Learning is to derive meaningful insights from data and information.
Machine Learning,MCQ,Easy,Which approach is most used in Machine Learning to analyse patterns?,Random guessing,Logical analysis and statistics,Pure coding,Manual observation,B,Logic and statistics are fundamental for analysing patterns in data.
Machine Learning,MCQ,Easy,What kind of reasoning is essential in Machine Learning?,Logical and analytical reasoning,Memorisation only,Visual design,None of the above,A,Logical reasoning is key to interpret and analyse data effectively.
Machine Learning,MCQ,Easy,What is the main purpose of Machine Learning?,To perform calculations only.,To store data.,To extract insights and make decisions using data.,To design user interfaces.,C,The main purpose of Machine Learning is to derive meaningful insights from data and information.
Machine Learning,MCQ,Easy,Which approach is most used in Machine Learning to analyse patterns?,Random guessing,Logical analysis and statistics,Pure coding,Manual observation,B,Logic and statistics are fundamental for analysing patterns in data.
Machine Learning,MCQ,Easy,What kind of reasoning is essential in Machine Learning?,Logical and analytical reasoning,Memorisation only,Visual design,None of the above,A,Logical reasoning is key to interpret and analyse data effectively.
Machine Learning,MCQ,Easy,What is the main purpose of Machine Learning?,To perform calculations only.,To store data.,To extract insights and make decisions using data.,To design user interfaces.,C,The main purpose of Machine Learning is to derive meaningful insights from data and information.
Machine Learning,MCQ,Easy,Which approach is most used in Machine Learning to analyse patterns?,Random guessing,Logical analysis and statistics,Pure coding,Manual observation,B,Logic and statistics are fundamental for analysing patterns in data.
Machine Learning,MCQ,Easy,What kind of reasoning is essential in Machine Learning?,Logical and analytical reasoning,Memorisation only,Visual design,None of the above,A,Logical reasoning is key to interpret and analyse data effectively.
